category,tag,description,type
emotion,laughter,Spoken laughter,chatterbox,chatterbox_turbo
emotion,sigh,Soft reflective release,chatterbox,chatterbox_turbo
emotion,gasp,Sharp intake from surprise or shock,chatterbox,chatterbox_turbo
emotion,groan,Low vocal complaint or strain,chatterbox,chatterbox_turbo
sound,cough,Audible cough,chatterbox,chatterbox_turbo
sound,clear_throat,Audible throat clearing,chatterbox,chatterbox_turbo
sound,sniff,Audible sniff,chatterbox,chatterbox_turbo
sound,shhh,Silencing sound,chatterbox,chatterbox_turbo
sound,chuckle,Quiet laughter,chatterbox,chatterbox_turbo
emotion,laughter,OmniVoice: Native laughter,omni
emotion,sigh,OmniVoice: Native sigh,omni
emotion,confirmation-en,OmniVoice: English confirmation,omni
emotion,question-en,OmniVoice: English question intonation,omni
emotion,question-ah,OmniVoice: Question ah,omni
emotion,question-oh,OmniVoice: Question oh,omni
emotion,question-ei,OmniVoice: Question ei,omni
emotion,question-yi,OmniVoice: Question yi,omni
emotion,surprise-ah,OmniVoice: Surprised ah,omni
emotion,surprise-oh,OmniVoice: Surprised oh,omni
emotion,surprise-wa,OmniVoice: Surprised wa,omni
emotion,surprise-yo,OmniVoice: Surprised yo,omni
emotion,dissatisfaction-hnn,OmniVoice: Dissatisfaction hnn,omni
emotion,emotion:elation,Higgs Audio: Elation,higgs_audio,higgs_audio_tts
emotion,emotion:amusement,Higgs Audio: Amusement,higgs_audio,higgs_audio_tts
emotion,emotion:enthusiasm,Higgs Audio: Enthusiasm,higgs_audio,higgs_audio_tts
emotion,emotion:determination,Higgs Audio: Determination,higgs_audio,higgs_audio_tts
emotion,emotion:pride,Higgs Audio: Pride,higgs_audio,higgs_audio_tts
emotion,emotion:contentment,Higgs Audio: Contentment,higgs_audio,higgs_audio_tts
emotion,emotion:affection,Higgs Audio: Affection,higgs_audio,higgs_audio_tts
emotion,emotion:relief,Higgs Audio: Relief,higgs_audio,higgs_audio_tts
emotion,emotion:contemplation,Higgs Audio: Contemplation,higgs_audio,higgs_audio_tts
emotion,emotion:confusion,Higgs Audio: Confusion,higgs_audio,higgs_audio_tts
emotion,emotion:surprise,Higgs Audio: Surprise,higgs_audio,higgs_audio_tts
emotion,emotion:awe,Higgs Audio: Awe,higgs_audio,higgs_audio_tts
emotion,emotion:longing,Higgs Audio: Longing,higgs_audio,higgs_audio_tts
emotion,emotion:arousal,Higgs Audio: Arousal,higgs_audio,higgs_audio_tts
emotion,emotion:anger,Higgs Audio: Anger,higgs_audio,higgs_audio_tts
emotion,emotion:fear,Higgs Audio: Fear,higgs_audio,higgs_audio_tts
emotion,emotion:disgust,Higgs Audio: Disgust,higgs_audio,higgs_audio_tts
emotion,emotion:bitterness,Higgs Audio: Bitterness,higgs_audio,higgs_audio_tts
emotion,emotion:sadness,Higgs Audio: Sadness,higgs_audio,higgs_audio_tts
emotion,emotion:shame,Higgs Audio: Shame,higgs_audio,higgs_audio_tts
emotion,emotion:helplessness,Higgs Audio: Helplessness,higgs_audio,higgs_audio_tts
sound,sfx:cough,Higgs Audio: Cough,higgs_audio,higgs_audio_tts
sound,sfx:laughter,Higgs Audio: Laughter,higgs_audio,higgs_audio_tts
sound,sfx:crying,Higgs Audio: Crying,higgs_audio,higgs_audio_tts
sound,sfx:screaming,Higgs Audio: Screaming,higgs_audio,higgs_audio_tts
sound,sfx:burping,Higgs Audio: Burping,higgs_audio,higgs_audio_tts
sound,sfx:humming,Higgs Audio: Humming,higgs_audio,higgs_audio_tts
sound,sfx:sigh,Higgs Audio: Sigh,higgs_audio,higgs_audio_tts
sound,sfx:sniff,Higgs Audio: Sniff,higgs_audio,higgs_audio_tts
sound,sfx:sneeze,Higgs Audio: Sneeze,higgs_audio,higgs_audio_tts
style,style:singing,Higgs Audio: Singing style,higgs_audio,higgs_audio_tts
style,style:shouting,Higgs Audio: Shouting style,higgs_audio,higgs_audio_tts
style,style:whispering,Higgs Audio: Whispering style,higgs_audio,higgs_audio_tts
prosody,prosody:speed_very_slow,Higgs Audio: Speed very slow,higgs_audio,higgs_audio_tts
prosody,prosody:speed_slow,Higgs Audio: Speed slow,higgs_audio,higgs_audio_tts
prosody,prosody:speed_fast,Higgs Audio: Speed fast,higgs_audio,higgs_audio_tts
prosody,prosody:speed_very_fast,Higgs Audio: Speed very fast,higgs_audio,higgs_audio_tts
prosody,prosody:pitch_low,Higgs Audio: Pitch low,higgs_audio,higgs_audio_tts
prosody,prosody:pitch_high,Higgs Audio: Pitch high,higgs_audio,higgs_audio_tts
prosody,prosody:expressive_high,Higgs Audio: Expressive high,higgs_audio,higgs_audio_tts
prosody,prosody:expressive_low,Higgs Audio: Expressive low,higgs_audio,higgs_audio_tts
prosody,prosody:pause,Higgs Audio: Pause,higgs_audio,higgs_audio_tts
prosody,prosody:long_pause,Higgs Audio: Long pause,higgs_audio,higgs_audio_tts
environment,env:music,Higgs Audio: Music environment,higgs_audio,higgs_audio_tts
environment,env:noise,Higgs Audio: Background noise environment,higgs_audio,higgs_audio_tts
